CAS登録番号,物質名称,ニトリルゴム (0.1 mm),ニトリルゴム (0.11 mm),ニトリルゴム (0.12 mm),ニトリルゴム (0.13 mm),ニトリルゴム (0.2 mm),ニトリルゴム (0.3 mm),ニトリルゴム (0.38 mm),ニトリルゴム (0.45 mm),ニトリルゴム (0.46 mm),天然ゴム（ラテックス） (0.23 mm),ブチルゴム (0.35 mm),クロロプレンゴム (0.18 mm),クロロプレンゴム (0.45 mm),ポリビニルアルコール（PVA）,クロロスルホン化ポリエチレン（CSM） (0.9 mm),ポリ塩化ビニル,ウレタン (0.5 mm),フッ素ゴム/ブチルゴム (0.3 mm),クロロプレン/天然ゴム (0.68 mm),クロロプレン/天然ゴム (0.7 mm),ニトリル/ネオプレンゴム (0.2 mm),ニトリル/ネオプレンゴム (0.38 mm),ポリ塩化ビニル/ニトリルゴム,多層フィルム（LLDPE） (0.062 mm),多層フィルム（EVOH） (0.06 mm),その他多層/複層フィルム
126-73-8,りん酸トリ－ｎ－ブチル,0,,,,1,1,,2,,0,2,1,,3,,,,2,1,,0,,0,3,3,3
126-98-7,メタクリロニトリル,0,,,,0,0,,,0,0,3,0,,2,,,,3,0,,0,,0,3,3,0
126-99-8,２－クロロ－１，３－ブタジエン（クロロプレン）,0,,,,0,0,,1,,0,0,0,,3,,,,2,0,,0,,0,1,3,0
127-00-4,１－クロロ－２－プロパノール,0,,,,0,0,,1,,0,3,2,,2,,,,3,1,,1,,1,3,3,0
127-19-5,Ｎ，Ｎ－ジメチルアセトアミド,0,,,,0,1,,1,,0,3,0,,2,,0,,3,1,,0,,1,3,3,3
127-51-5,α－イソメチルヨノン,0,,,,0,1,,1,,0,3,0,,2,,,,2,1,,0,,1,3,3,
127-68-4,３－ニトロベンゼンスルホン酸ナトリウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
127-91-3,ベータ－ピネン,1,,,,1,3,,3,,0,0,1,,3,,,,3,1,,3,,2,3,3,
131-17-9,フタル酸ジアリル　（別名ジアリルフタラート）,0,,,,0,0,,1,,0,2,0,,3,,,,2,0,,0,,0,3,3,
131-57-7,（２－ヒドロキシ－４－メトキシフェニル）（フェニル）メタノン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
131-72-6,２，４－ジニトロ－６－（オクタン－２－イル）フェニル＝（Ｅ）－２－ブテノアート（別名メプチルジノカップ）,,,,,,,,,,,,,,,,,,,,,,,,,3,
131-74-8,ピクリン酸アンモニウム,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
131-89-5,２，４－ジニトロ－６－シクロヘキシルフェノール  （別名ジネックス）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
132-27-4,ナトリウム＝１，１’－ビフェニル－２－オラート,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
133-06-2,キャプタン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,3
133-07-3,Ｎ－（トリクロロメチルチオ）フタルイミド（別名ホルペット）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
135-19-3,ベタナフトール,1,,,,1,2,,2,,1,3,2,,3,,,,3,3,,2,,2,3,,
135-88-6,２－（Ｎ－フェニルアミノ）－ナフタレン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
136-52-7,２－エチルヘキサン酸コバルト（Ⅱ）,2,,,,2,3,,3,,,,2,,,,,,,,,3,,,3,,
137-05-3,２－シアノアクリル酸メチル,0,,,,0,1,,1,,0,3,0,,3,,,,2,1,,0,,0,3,,
137-26-8,テトラメチルチウラムジスルフィド（別名チウラム）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
137-30-4,ビス（Ｎ，Ｎ－ジメチルジチオカルバミン酸）亜鉛　(別名ジラム),3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
137-42-8,メチルジチオカルバミド酸ナトリウム（別名メタムソジウム）,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
137-58-6,リドカイン,3,,,,3,3,,3,,3,3,3,,3,,,,3,3,,3,,3,3,3,
138-86-3,ジペンテン,1,,,,1,2,,3,,0,0,0,,3,,,,3,1,,2,,2,3,3,
